,Org,Technologies,Slots,Ideas Page,Contact
0,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5685665089978368/"",""3DTK"")","c/c++,  cmake, opencv, ros, boost",2,http://slam6d.sourceforge.net/wishlist.html,https://sourceforge.net/p/slam6d/discussion/
1,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5067792839606272/"",""52° North Initiative for Geospatial Open Source Software GmbH"")","javascript,  java, spring, r, big data",1,https://wiki.52north.org/Projects/GSoC2018ProjectIdeas,https://wiki.52north.org/Projects/GSoC#Contact
2,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5715161717407744/"",""AerospaceResearch.net"")","python, c/c++, vhdl, boinc,  java",6,https://aerospaceresearch.net/?page_id=612,https://aerospaceresearch.net/?page_id=612
3,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5756292874371072/"",""aimacode"")"," python,  java,  javascript, ai, jupyter",5,https://github.com/aimacode/aima-gsoc,https://gitter.im/aimacode/Lobby
4,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5083924199899136/"",""Amahi"")","ruby on rails, golang, swift, javascript, android",5,https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas,http://talk.amahi.org/
5,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6209824106741760/"",""AOSSIE - Australian Open Source Software Innovation and Education"")","scala, isabelle proof assistant, browser extension, javascript/html5/css3, android/ios",13,http://aossie.org/#ideas,http://gitter.im/GSoC-AOSSIE/
6,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5175246747336704/"",""Apache Software Foundation"")","c, java, erlang",23,http://s.apache.org/gsoc2018ideas,https://wiki.apache.org/general/IRC
7,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5754587369701376/"",""Apertium"")","c++, python, xml, fsts",11,http://wiki.apertium.org/wiki/Ideas_for_Google_Summer_of_Code,http://wiki.apertium.org/wiki/IRC
8,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5706275094528000/"",""Apertus Association"")","fpga, embedded, linux, c/c++, vhdl",4,https://lab.apertus.org/project/view/20/,https://www.apertus.org/irc-chat
9,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5125340301099008/"",""appleseedhq"")","c/c++, qt",3,https://github.com/appleseedhq/appleseed/wiki/List-of-Project-Ideas-for-GSoC-2018,https://slackin-naplrzjfoz.now.sh/
10,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5149138983321600/"",""ArduPilot"")","drones, python, linux, c/c++, robotics",5,http://ardupilot.org/dev/docs/gsoc-ideas-list.html,https://gitter.im/ArduPilot/GSoC
11,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5713309579870208/"",""BeagleBoard.org Foundation"")","linux, gcc, real-time, physical computing, iot",3,https://bbb.io/gsocideas,https://beagleboard.org/chat
12,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5082029850886144/"",""Beam Community"")","erlang, xmpp",6,https://github.com/beamcommunity/beamcommunity.github.com/wiki,http://beamcommunity.github.io
13,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5679790782676992/"",""BeeWare Project"")","python, ios, android, javascript,  java",2,https://github.com/pybee/pybee.github.io/wiki/GSoC-Project-Ideas,https://gitter.im/pybee
14,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5751016104394752/"",""Berkman Klein Center for Internet & Society at Harvard University"")","ruby on rails, meteor.js, elasticsearch, javascript, elk",2,https://cyber.harvard.edu/gsoc,https://cyber.harvard.edu/gsoc/Main_Page#Contact_Us
15,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6251240207941632/"",""Blender Foundation"")","c, c++, python, opengl, opencl",5,https://wiki.blender.org/index.php/Dev:Ref/GoogleSummerOfCode/2018/Ideas,https://www.blender.org/get-involved/developers/
16,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5136992144719872/"",""Boost C++ Libraries"")","c++11, c++14, c++, c++17",9,https://github.com/boostorg/boost/wiki/Boost-Google-Summer-of-Code-2018,http://www.boost.org/community/irc.html
17,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5193342920949760/"",""Boston University / XIA"")","xia, linux kernel, c, advanced data structures,  ddos",4,https://github.com/AltraMayor/XIA-for-Linux/wiki/Ideas-list,http://groups.google.com/group/linux-xia
18,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5078956801785856/"",""BRL-CAD"")","c/c++, qt, opengl, opencl, tcl/tk",7,http://brlcad.org/wiki/Google_Summer_of_Code/Project_Ideas,https://brlcad.zulipchat.com
19,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5194176413040640/"",""Canadian Centre for Computational Genomics"")","r, perl, awk, bash, python",3,https://bitbucket.org/mugqic/gsoc_2018,mailto:info@computationalgenomics.ca
20,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6262892051562496/"",""Catrobat"")","java, android, ios, espresso",5,http://developer.catrobat.org/gsoc_2018_ideas_page.html,http://catrob.at/mailinglist
21,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5152211763986432/"",""CCExtractor Development"")","c, python, arduino, node.js, c#",6,https://ccextractor.org/public:gsoc:ideas_page_for_summer_of_code_2018,https://ccextractor.org/public:general:support
22,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6272574585569280/"",""Center for Research In Open Source Software (CROSS) at UC Santa Cruz"")","ceph, hadoop, c++, javascript,  python",2,https://cross.ucsc.edu/cross-gsoc/,https://cross.ucsc.edu/about/contact/
23,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4841240159846400/"",""CERN-HSF"")","c/c++, python, data analysis, machine learning, parallelization",26,http://hepsoftwarefoundation.org/activities/gsoc.html,http://hepsoftwarefoundation.org/activities/gsoc.html
24,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5076776166359040/"",""CGAL Project"")","c++, github, git",7,https://github.com/CGAL/cgal/wiki/Project-Ideas,http://www.cgal.org/mailing_list.html
25,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5116840829255680/"",""CHAOSS: Community Health Analytics Open Source Software"")","python 3,  javascript",2,https://wiki.linuxfoundation.org/chaoss/gsoc-ideas,https://wiki.linuxfoundation.org/chaoss/metrics
26,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6235541699821568/"",""Checker Framework"")",java,3,https://checkerframework.org/gsoc-2018-ideas.html,https://groups.google.com/forum/#!forum/checker-framework-gsoc
27,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4828166816268288/"",""CiviCRM LLC"")","php, mysql, angularjs, d3.js",4,https://lab.civicrm.org/community-team/gsoc2018/blob/master/projects.md,https://chat.civicrm.org
28,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5114353707646976/"",""Classical Language Toolkit"")"," python,  javascript",3,https://github.com/cltk/cltk/wiki/Project-ideas,https://gitter.im/cltk/cltk
29,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6272891540733952/"",""CLiPS, University of Antwerp"")","python, javascript, mongodb",4,https://docs.google.com/document/d/1U37CixY13O5Lrd_j75xD3vcSg6vmEosH7ubQIGPIURg,http://www.clips.uantwerpen.be:3001
30,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4800404952973312/"",""Cloud Native Computing Foundation (CNCF)"")","kubernetes, prometheus, grpc, docker, golang",7,https://github.com/cncf/soc,https://github.com/cncf/soc/issues
31,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5182287540912128/"",""CloudCV"")","machine learning, deep learning, computer vision, artificial intelligence, cloud",5,http://gsoc.cloudcv.org,https://gitter.im/Cloud-CV/
32,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4906591174262784/"",""coala"")","django, python 3, antlr, emberjs, reactjs",14,https://projects.coala.io/,http://coala.io/chat
33,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6010802972655616/"",""Computational Biology @ University of Nebraska-Lincoln"")","javascript, webgl, reactjs, flask",4,http://helikarlab.org/GSoC2018.html,https://groups.google.com/forum/#!forum/helikarlab-gsoc
34,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6032491081105408/"",""Conversations.im"")","java, android, xmpp, gtk, javascript",3,https://conversations.im/gsoc.html,https://conversations.im/j/gsoc@conference.conversations.im
35,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4794601982394368/"",""Cuneiform Digital Library Initiative"")","python, mariadb, rdf, php, nltk",2,https://github.com/cdli-gh/Framework/wiki/Google-Summer-of-Code-2018---Ideas-List,mailto:cdli@ucla.edu
36,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6317537323122688/"",""DBpedia"")","rdf, scala, sparql",3,https://github.com/dbpedia/GSoC/issues?q=is%3Aissue+is%3Aopen+label%3Aproject+label%3Agsoc-2018,https://dbpedia.slack.com/
37,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6481377977434112/"",""Debian Project"")","javascript,  ruby,  java,  python, c/c++",22,https://wiki.debian.org/SummerOfCode2018/Projects,https://wiki.debian.org/IRC
38,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6208428913459200/"",""Developers Italia"")","python, ruby, node.js,  java, c/c++",2,https://developers.italia.it/en/gsoc-ideas/,https://slack.developers.italia.it
39,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6491299083452416/"",""Digital Impact Alliance"")","android, java, php,  python,  javascript",2,http://gsoc.dial.community/,https://dial.zulipchat.com/
40,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5080222944722944/"",""Django Software Foundation"")","python, django",0,https://code.djangoproject.com/wiki/SummerOfCode2018,https://docs.djangoproject.com/en/dev/internals/contributing/new-contributors/
41,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5920501889236992/"",""Drupal"")","web, web development, content management system, cms, object-oriented",1,https://groups.drupal.org/node/518074,http://drupal.org/irc#drupal-google
42,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4862665201549312/"",""Earth Science Information Partners (ESIP)"")"," kubernetes,  dask,  xarray,  python, javascript",2,https://github.com/ESIPFed/GSoC/issues,https://esip-slack-invite.herokuapp.com/
43,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5469541127684096/"",""Elastic"")"," java, golang, node.js, react, jruby",2,https://github.com/elastic/gsoc#ideas,https://discuss.elastic.co/c/elastic-community/elastic-gsoc
44,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4825444746526720/"",""Eta"")","haskell, jvm,  java",2,https://eta-lang.org/contribute/gsoc/2018,https://gitter.im/typelead/eta
45,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5363354906394624/"",""Fedora Project"")","linux, python, git, postgresql, ansible",5,https://docs.fedoraproject.org/mentored-projects/gsoc/2018/ideas.html,https://webchat.freenode.net/?channels=#fedora-summer-coding
46,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5447853019234304/"",""FFmpeg"")","c, asm, git",5,https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2018,http://ffmpeg.org/contact.html#IRCChannels
47,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6489254813237248/"",""FOSSASIA"")","java, javascript, python, android, artificial intelligence",32,https://labs.fossasia.org/ideas,https://gitter.im/fossasia/fossasia
48,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5988565108391936/"",""FOSSology"")","php, postgresql, lamp, linux, c/c++",1,https://wiki.fossology.org/gsoc-2018,http://fossology.slack.com
49,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6276259533291520/"",""Free and Open Source Silicon Foundation"")","fpga, verilog, c, chisel, synthesis",6,https://fossi-foundation.org/gsoc18-ideas,https://gitter.im/librecores/Lobby
50,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6511795204259840/"",""Free UK Genealogy"")","mongodb, ruby on rails, mysql, python,  css/html",2,https://www.freeukgenealogy.org.uk/about/volunteer/tech-volunteering-opportunities/ideas-list/,https://www.freeukgenealogy.org.uk/about/volunteer/tech-volunteering-opportunities/ideas-list/
51,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4807073560788992/"",""FreeBSD"")","c/c++, llvm,  shell script, assembly, make",8,https://wiki.freebsd.org/SummerOfCodeIdeas,https://wiki.freebsd.org/SummerOfCodeIRC
52,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6550700024659968/"",""FreeType"")","c, gnu make, gnu autotools, python, fonts",3,https://www.freetype.org/gsoc.html,https://lists.nongnu.org/mailman/listinfo/freetype-devel
53,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5072753191288832/"",""freifunk"")","openwrt, javascript, html, c,  python",12,https://projects.freifunk.net,http://irc.freifunk.net
54,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5477445075468288/"",""Genes, Genomes and Variation"")","perl, mysql, java script",2,http://www.ensembl.info/student-projects/,http://lists.ensembl.org/mailman/listinfo/dev
55,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5111873431142400/"",""GENIVI Alliance"")","yocto, c/c++, java",1,https://at.projects.genivi.org/wiki/display/GDP/Google+Summer+of+Code+Instructions+and+ideas,https://lists.genivi.org/mailman/listinfo/genivi-projects
56,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5172443744305152/"",""Gentoo Foundation"")"," shell script, bash, c/c++,  python, linux",2,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2018/Ideas,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2018/Application_Guidelines
57,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5472477677355008/"",""GFOSS - Open Technologies Alliance"")","python 3, php/javascript/html,  css/html, java, c/c++",10,https://ellak.gr/wiki/index.php?title=GSOC2018_Projects,http://opensource-devs@ellak.gr
58,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4840889583140864/"",""Git"")","c,  shell script,  git",3,https://git.github.io/SoC-2018-Ideas/,http://git-scm.com/community
59,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4659817385820160/"",""Global Alliance for Genomics and Health"")","java, python, cloud, c/c++, mongodb",4,https://docs.google.com/document/d/1fzIMN3F96Qv--Bq9sGbApaVyS2dmUoGMrLP9O-ihKFE/view?usp=sharing,mailto:gsoc@genomicsandhealth.org
60,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5224661688254464/"",""GNOME"")","c, python,  javascript, gtk+, gobject",13,https://wiki.gnome.org/Outreach/SummerOfCode/2018/Ideas,https://wiki.gnome.org/Community/GettingInTouch
61,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5951344653369344/"",""GNSS-SDR"")","c/c++, gnss, c++11, c++14",5,http://gnss-sdr.org/google-summer-code-2018-ideas-list/,http://lists.sourceforge.net/lists/listinfo/gnss-sdr-developers
62,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6598377584197632/"",""GNU Compiler Collection (GCC)"")","c++, c, openmp",1,https://gcc.gnu.org/wiki/SummerOfCode,https://gcc.gnu.org/wiki
63,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6026712471044096/"",""GNU Octave"")","c++, hg",3,http://wiki.octave.org/Summer_of_Code_Project_Ideas,https://webchat.freenode.net/?channels=#octave
64,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6595441034526720/"",""GNU Project"")","c, lisp, python",9,https://www.gnu.org/software/soc-projects/ideas-2018.html,https://lists.gnu.org/mailman/listinfo/summer-of-code
65,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5370023514210304/"",""GNU Radio"")","c++, python, simd, qt",2,https://wiki.gnuradio.org/index.php/GSoCIdeas,https://wiki.gnuradio.org/index.php/IRC
66,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5406815277809664/"",""Godot Engine"")","c++, cpp, opengl, github, crossplatform",5,https://github.com/godotengine/roadmap/blob/master/GSOC-2018.md,https://godotengine.org/community
67,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4768790235578368/"",""gRPC"")","grpc, microservices, distributed systems, cloud",1,https://github.com/grpc/grpc/blob/master/summerofcode/ideas.md,https://grpc.io/community/
68,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5826402578333696/"",""Haiku"")","c++, webkit, ffmpeg, posix, bsd unix",2,https://www.haiku-os.org/community/gsoc/2018/ideas,https://www.haiku-os.org/community/irc
69,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5391116769689600/"",""Haskell.org"")",haskell,15,https://summer.haskell.org/ideas.html,https://www.haskell.org/irc
70,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4830398454431744/"",""Homebrew"")","ruby, git, macos, rspec, bash",1,https://github.com/Homebrew/Outreachy-and-Google-Summer-of-Code,https://github.com/Homebrew/brew#community
71,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6206122851565568/"",""INCF"")","python, c/c++, javascript, cuda, xml",16,https://www.incf.org/activities/training/gsoc-2018-project-ideas,mailto:gsoc@incf.org
72,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6198653098131456/"",""Inclusive Design Institute"")","javascript, html, css, node.js, php",5,https://wiki.fluidproject.org/display/fluid/Google+Summer+of+Code+2018+with+the+Fluid+Project,https://wiki.fluidproject.org/display/fluid/IRC+Channel
73,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6036062346412032/"",""Inkscape"")","svg, css, c++11,  python, gtk+",0,http://wiki.inkscape.org/wiki/index.php/Google_Summer_of_Code#Suggested_Project_Ideas,https://inkscape.org/en/community/discussion/
74,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6603344982310912/"",""Inria Foundation"")","c/c++, qt, webassembly, asm, communication protocol",2,https://www.sofa-framework.org/community/google-summer-of-code/,https://www.sofa-framework.org/community/get-involved/
75,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4682207855640576/"",""Institute for Artificial Intelligence"")","c++, python, ros, unreal engine, lisp",6,http://ai.uni-bremen.de/teaching/gsoc2018,https://gitter.im/iai_gsoc18/
76,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4797072796549120/"",""Intel Media And Audio For Linux"")","video, codecs, hardware acceleration, va-api, c",1,https://01.org/linuxmedia/gsoc-2018-ideas,https://01.org/linuxmedia/blogs/seanvk/2017/vaapi-media-consolidation
77,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5222767339241472/"",""InterMine"")","postgresql,  java,  javascript, python, clojure",6,http://intermine.org/gsoc/project-ideas/2018/,https://discord.gg/h847Cex
78,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6298343651147776/"",""Internet Archive"")","pthon, javascript",5,https://docs.google.com/document/d/1qrqVucyFD_x_vA0wyyMYedMn3HHRPBKgCZ4d6Vr7mRQ/edit?usp=sharing,mailto:mark@archive.org
79,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4744165577457664/"",""Internet Systems Consortium"")","dhcp, c/c++, mysql, cassandra, rest",2,http://kea.isc.org/wiki/KeaIdeas,https://lists.isc.org/mailman/listinfo/kea-dev
80,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5357551935815680/"",""JBoss Community"")"," java, android, ios, opentracing, apache kafka",3,https://developer.jboss.org/wiki/GSoC2018Ideas,https://developer.jboss.org/wiki/JBossGSoCContactInformation
81,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/4773757633691648/"",""JdeRobot - Universidad Rey Juan Carlos"")","ros, python, c++, gazebo, opencv",5,http://jderobot.org/GSoC-2018,http://jderobot.org/Collaborate#Mailing_List
82,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5245157809061888/"",""Jenkins project"")"," java, groovy,  javascript",2,https://jenkins.io/projects/gsoc/gsoc2018-project-ideas/,https://jenkins.io/content/chat
83,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5956298361274368/"",""JGraphT"")",java,2,https://github.com/jgrapht/jgrapht/wiki/Google-Summer-Of-Code-2018,https://groups.google.com/forum/#!forum/jgrapht-gsoc
84,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6348667246084096/"",""Jitsi"")","java, javascript, webrtc, react, react native",3,https://jitsi.org/gsoc/,https://jitsi.org/mailing-lists/
85,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6484151049912320/"",""Joomla!"")","php,  javascript, mysql, html5/css3, cms",7,https://docs.joomla.org/GSOC_2018_Project_Ideas,http://irc.lc/freenode/joomla/
86,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/5947308659179520/"",""JSK Robotics Laboratory / The University of Tokyo"")",ros,2,http://www.jsk.imi.i.u-tokyo.ac.jp/gsoc/2018,https://gitter.im/euslisp/jskeus
87,"=HYPERLINK(""https://summerofcode.withgoogle.com/archive/2018/organizations/6517016676532224/"",""KDE Community"")","qt, c/c++, qml",17,https://community.kde.org/GSoC/2018/Ideas,https://userbase.kde.org/IRC_Channels
